(0,7,AP1);9
(1,3,5,AP5);8
(2,3,5,AP5);10
(3,5,AP5);5
(AP5,AP5);0
(5,AP5);3
(6,5,AP5);5
(7,AP1);6
(8,9,AP4);4
(9,AP4);2
(AP4,AP4);0
(11,AP4);2
(12,11,AP4);3
(13,12,11,AP4);4
(14,9,AP4);5
(15,AP1);5
(AP1,AP1);0
(17,AP1);8
(18,AP1);7
(19,AP1);8
(20,22,23,AP2);7
(21,22,23,AP2);7
(22,23,AP2);3
(23,AP2);1
(AP2,AP2);0
(25,23,AP2);4
(26,28,AP3);3
(27,31,30,AP3);4
(28,AP3);2
(AP3,AP3);0
(30,AP3);1
(31,30,AP3);3
(32,35,36,AP4);7
(33,35,36,AP4);7
(34,36,AP4);5
(35,36,AP4);4
(36,AP4);3
(37,12,11,AP4);5
(38,40,22,23,AP2);7
(39,38,40,22,23,AP2);8
(40,22,23,AP2);6
